Numer of labeled samples:40871   AUC:0.847
Numer of labeled samples:40906   AUC:0.853
Numer of labeled samples:40975   AUC:0.841
Numer of labeled samples:40947   AUC:0.854
Numer of labeled samples:40956   AUC:0.844
Numer of labeled samples:40940   AUC:0.841
Numer of labeled samples:40887   AUC:0.842
Numer of labeled samples:40934   AUC:0.858
Numer of labeled samples:40866   AUC:0.845
Numer of labeled samples:40930   AUC:0.850
Numer of labeled samples:40915   AUC:0.843
Numer of labeled samples:40893   AUC:0.847
Numer of labeled samples:40994   AUC:0.841
Numer of labeled samples:40899   AUC:0.841
Numer of labeled samples:40939   AUC:0.838
Numer of labeled samples:41006   AUC:0.852
Numer of labeled samples:40961   AUC:0.845
Numer of labeled samples:40960   AUC:0.846
Numer of labeled samples:40992   AUC:0.844
Numer of labeled samples:40864   AUC:0.840
Numer of labeled samples:40995   AUC:0.840
Numer of labeled samples:40985   AUC:0.845
Numer of labeled samples:41017   AUC:0.842
Numer of labeled samples:40985   AUC:0.846
Numer of labeled samples:40861   AUC:0.839
Numer of labeled samples:41009   AUC:0.843
Numer of labeled samples:41076   AUC:0.842
Numer of labeled samples:40904   AUC:0.842
Numer of labeled samples:41090   AUC:0.842
Numer of labeled samples:40944   AUC:0.848
Numer of labeled samples:40930   AUC:0.839
Numer of labeled samples:41061   AUC:0.847
Numer of labeled samples:41060   AUC:0.838
Numer of labeled samples:40933   AUC:0.840
Numer of labeled samples:41051   AUC:0.843
Numer of labeled samples:40912   AUC:0.848
